symbol,date,open,high,low,close,volume,SMA10,SMA20,RSI,OBV,ADL,STOCH
AAPL,2021-10-11,142.06,144.6,141.6,142.6,56378019.0,0.0,0.0,0.0,0.0,-18792673.0,0.0
AAPL,2021-10-12,143.02,143.04,139.07,141.25,61449162.0,0.0,0.0,0.0,-61449162.0,-12756105.448,0.0
AAPL,2021-10-13,141.03,141.19,139.0,140.71,69428861.0,0.0,0.0,0.0,-130878023.0,26238186.346,0.0
AAPL,2021-10-14,141.9,143.67,141.3,143.55,59312497.0,0.0,0.0,63.035,-71565526.0,79544354.536,0.0
AAPL,2021-10-15,143.56,144.74,143.3,144.63,60768998.0,0.0,0.0,70.619,-10796528.0,131029200.064,0.0
AAPL,2021-10-18,143.24,146.63,142.95,146.34,72239561.0,0.0,0.0,78.234,61443033.0,191883178.08,0.0
AAPL,2021-10-19,146.8,148.95,146.34,148.54,70045408.0,0.0,0.0,83.985,131488441.0,239921982.8,0.0
AAPL,2021-10-20,148.48,149.54,147.9,149.04,53839421.0,0.0,0.0,84.958,185327862.0,260932488.557,0.0
AAPL,2021-10-21,148.59,149.42,147.66,149.26,56804216.0,0.0,0.0,85.379,242132078.0,307408665.284,0.0
AAPL,2021-10-22,149.47,149.96,148.36,148.47,54405653.0,145.439,0.0,77.043,187726425.0,260483789.571,0.0
AAPL,2021-10-25,148.46,149.15,147.41,148.42,43024292.0,146.021,0.0,76.534,144702133.0,267407238.859,0.0
AAPL,2021-10-26,149.11,150.62,148.79,149.1,56016650.0,146.806,0.0,78.605,200718783.0,230368907.438,0.0
AAPL,2021-10-27,149.14,149.51,148.27,148.63,46041751.0,147.598,0.0,73.759,154677032.0,211061076.373,0.0
AAPL,2021-10-28,149.6,152.94,149.5,152.35,78858703.0,148.478,0.0,82.799,233535735.0,262869410.321,95.768
AAPL,2021-10-29,147.0,149.72,146.2,149.58,108192995.0,148.973,0.0,64.877,125342740.0,362456144.355,75.897
AAPL,2021-11-01,148.77,149.48,147.59,148.74,60053977.0,149.213,0.0,60.594,65288763.0,375483726.667,69.871
AAPL,2021-11-02,148.44,151.35,148.43,149.77,62874332.0,149.336,0.0,63.754,128163095.0,370315973.352,72.766
